transaction_id,quantity,unit_price,currency,trade_time,notes,from_Users_user_id,to_Users_user_id,Fractions_fraction_id,Fractions_Assets_asset_id
1,1,305.25,JPY,2025-08-25 12:42:17,,975,922,959982,96
2,1,344.16,CNY,2025-08-07 19:15:17,,858,32,244936,25
3,1,274.98,CNY,2025-05-20 04:06:17,,103,217,206061,21
4,1,371.10,CNY,2025-06-02 08:23:17,,571,681,500723,51
5,1,453.54,JPY,2025-05-20 12:50:17,,639,473,673799,68
6,1,477.47,USD,2025-06-28 04:26:17,,338,431,675076,68
7,1,419.31,USD,2025-08-06 02:20:17,,732,314,114286,12
8,1,412.29,EUR,2025-07-14 17:33:17,Would mother campaign capital long song miss.,313,676,405002,41
9,1,481.87,AUD,2025-05-08 09:16:17,,492,229,114962,12
10,1,174.82,AUD,2025-08-01 18:31:17,,412,530,568510,57
11,1,177.07,EUR,2025-06-10 00:51:17,,380,730,159603,16
12,1,194.63,AUD,2025-05-24 23:04:17,,766,57,294843,30
13,1,406.88,JPY,2025-08-20 12:08:17,,302,815,142572,15
14,1,202.81,AUD,2025-07-03 11:34:17,,698,230,670274,68
15,1,324.25,EUR,2025-07-22 08:05:17,,56,435,652203,66
16,1,146.21,USD,2025-05-18 10:43:17,,89,232,439353,44
17,1,372.02,EUR,2025-05-22 10:52:17,,625,327,835065,84
18,1,127.72,CNY,2025-05-17 17:17:17,,536,551,69713,7
19,1,399.90,CNY,2025-06-16 21:01:17,,656,340,410866,42
20,1,170.48,JPY,2025-08-16 13:07:17,,980,819,201859,21
21,1,372.62,AUD,2025-05-15 23:56:17,,927,277,855093,86
22,1,145.84,CNY,2025-06-27 09:34:17,Hold range toward real.,736,199,627714,63
23,1,479.11,EUR,2025-07-17 23:07:17,,280,994,469743,47
24,1,490.04,JPY,2025-05-04 05:26:17,,748,805,869132,87
25,1,355.72,JPY,2025-08-13 21:26:17,War test eye analysis option happen wonder agent watch.,237,145,807199,81
26,1,187.58,EUR,2025-05-21 02:48:17,System list Congress their want once reality.,19,219,984906,99
27,1,216.89,CNY,2025-08-16 01:49:17,,445,856,627732,63
28,1,355.25,CNY,2025-06-21 06:35:17,,449,111,652441,66
29,1,54.35,JPY,2025-06-18 01:01:17,,638,192,455793,46
30,1,43.32,JPY,2025-08-23 16:47:17,,634,517,211538,22
31,1,47.12,USD,2025-07-14 20:36:17,,842,24,234605,24
32,1,333.23,EUR,2025-05-24 16:33:17,,112,257,569934,57
33,1,174.70,JPY,2025-06-02 01:34:17,,924,11,708026,71
